CO_UF;SG_UF;NO_UF;NO_REGIAO;Link
12;AC;Acre;REGIAO NORTE;https://upload.wikimedia.org/wikipedia/commons/4/4c/Bandeira_do_Acre.svg
27;AL;Alagoas;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Bandeira_de_Alagoas.svg/60px-Bandeira_de_Alagoas.svg.png
16;AP;Amapá;REGIAO NORTE;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Bandeira_do_Amap%C3%A1.svg/60px-Bandeira_do_Amap%C3%A1.svg.png
13;AM;Amazonas;REGIAO NORTE;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bandeira_do_Amazonas.svg/60px-Bandeira_do_Amazonas.svg.png
32;BA;Bahia;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bandeira_da_Bahia.svg/60px-Bandeira_da_Bahia.svg.png
23;CE;Ceará;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bandeira_do_Cear%C3%A1.svg/60px-Bandeira_do_Cear%C3%A1.svg.png
94;CB;Consumo de Bordo;CONSUMO DE BORDO;
54;DF;Distrito Federal;REGIAO CENTRO OESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Bandeira_do_Distrito_Federal_%28Brasil%29.svg/60px-Bandeira_do_Distrito_Federal_%28Brasil%29.svg.png
34;ES;Espírito Santo;REGIAO SUDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg/60px-Bandeira_do_Esp%C3%ADrito_Santo.svg.png
98;ED;Estados Diversos - Café;REGIAO NAO DECLARADA;
93;EX;Exterior;REGIAO NAO DECLARADA;
53;GO;Goiás;REGIAO CENTRO OESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_Goi%C3%A1s.svg/60px-Flag_of_Goi%C3%A1s.svg.png
21;MA;Maranhão;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Bandeira_do_Maranh%C3%A3o.svg/60px-Bandeira_do_Maranh%C3%A3o.svg.png
52;MT;Mato Grosso;REGIAO CENTRO OESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bandeira_de_Mato_Grosso.svg/60px-Bandeira_de_Mato_Grosso.svg.png
55;MS;Mato Grosso do Sul;REGIAO CENTRO OESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Bandeira_de_Mato_Grosso_do_Sul.svg/60px-Bandeira_de_Mato_Grosso_do_Sul.svg.png
96;MN;Mercadoria Nacionalizada;MERCADORIA NACIONALIZADA;
33;MG;Minas Gerais;REGIAO SUDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bandeira_de_Minas_Gerais.svg/60px-Bandeira_de_Minas_Gerais.svg.png
95;ND;Não Declarada;REGIAO NAO DECLARADA;
15;PA;Pará;REGIAO NORTE;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bandeira_do_Par%C3%A1.svg/60px-Bandeira_do_Par%C3%A1.svg.png
25;PB;Paraíba;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Bandeira_da_Para%C3%ADba.svg/60px-Bandeira_da_Para%C3%ADba.svg.png
42;PR;Paraná;REGIAO SUL;https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Bandeira_do_Paran%C3%A1.svg/60px-Bandeira_do_Paran%C3%A1.svg.png
26;PE;Pernambuco;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Bandeira_de_Pernambuco.svg/60px-Bandeira_de_Pernambuco.svg.png
22;PI;Piauí;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Bandeira_do_Piau%C3%AD.svg/60px-Bandeira_do_Piau%C3%AD.svg.png
97;RE;Reexportação;REEXPORTACAO;
36;RJ;Rio de Janeiro;REGIAO SUDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg/60px-Bandeira_do_estado_do_Rio_de_Janeiro.svg.png
24;RN;Rio Grande do Norte;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bandeira_do_Rio_Grande_do_Norte.svg/60px-Bandeira_do_Rio_Grande_do_Norte.svg.png
45;RS;Rio Grande do Sul;REGIAO SUL;https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bandeira_do_Rio_Grande_do_Sul.svg/60px-Bandeira_do_Rio_Grande_do_Sul.svg.png
11;RO;Rondônia;REGIAO NORTE;https://upload.wikimedia.org/wikipedia/commons/f/fa/Bandeira_de_Rond%C3%B4nia.svg
14;RR;Roraima;REGIAO NORTE;https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Bandeira_de_Roraima.svg/60px-Bandeira_de_Roraima.svg.png
44;SC;Santa Catarina;REGIAO SUL;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Bandeira_de_Santa_Catarina.svg/60px-Bandeira_de_Santa_Catarina.svg.png
41;SP;São Paulo;REGIAO SUDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg/60px-Bandeira_do_estado_de_S%C3%A3o_Paulo.svg.png
31;SE;Sergipe;REGIAO NORDESTE;https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Bandeira_de_Sergipe.svg/60px-Bandeira_de_Sergipe.svg.png
17;TO;Tocantins;REGIAO NORTE;https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bandeira_do_Tocantins.svg/60px-Bandeira_do_Tocantins.svg.png
99;ZN;Zona Não Declarada;REGIAO NAO DECLARADA;
